TS0038: X'=57.2674, Y'=-14.4682
TS0037: X'=56.3528, Y'=-20.2961
TS0036: X'=61.6580, Y'=-50.6593
TS0035: X'=64.0561, Y'=-44.1701
TS0034: X'=60.8775, Y'=-30.4948
TS0033: X'=70.2535, Y'=-20.1955
TS0032: X'=66.4184, Y'=-18.9226
TS0031: X'=66.2925, Y'=-14.6832
TS0030: X'=70.1285, Y'=-4.3770
TS0029: X'=77.8469, Y'=-9.9021
TS0028: X'=79.3182, Y'=-4.0333
TS0027: X'=65.7058, Y'=10.9898
TS0026: X'=69.2245, Y'=17.4717
TS0025: X'=75.2900, Y'=34.8869
TS0024: X'=78.7902, Y'=39.5463
TS0023: X'=79.0047, Y'=28.4190
TS0022: X'=85.9757, Y'=27.0783
TS0021: X'=83.3006, Y'=16.8589
TS0020: X'=90.9332, Y'=13.1766
TS0019: X'=101.5290, Y'=13.4363
TS0018: X'=87.3538, Y'=5.7427
TS0017: X'=78.7625, Y'=1.1860
TS0016: X'=67.9974, Y'=0.3785
TS0015: X'=60.5408, Y'=-0.2576
TS0013: X'=0.0964, Y'=4.4748
TS0012: X'=0.0278, Y'=9.2354
TS0011: X'=20.0371, Y'=9.1933
TS0010: X'=20.2700, Y'=4.3249
TS0008: X'=31.6379, Y'=0.0176
TS0007: X'=31.1414, Y'=5.8616
TS0006: X'=40.9986, Y'=9.1677
TS0005: X'=41.0955, Y'=4.2147
TS0004: X'=40.5558, Y'=-1.9875
